FIPS,state_name,county_name,MonthStart,value,stage
06001,California,Alameda County,5/1/92,4,actuals
06001,California,Alameda County,6/1/92,16,actuals
06001,California,Alameda County,7/1/92,17,actuals
06001,California,Alameda County,8/1/92,7,actuals
06001,California,Alameda County,9/1/92,8,actuals
06001,California,Alameda County,10/1/92,7,actuals
06001,California,Alameda County,11/1/92,2,actuals
06001,California,Alameda County,12/1/92,1,actuals
06001,California,Alameda County,1/1/93,0,actuals
06001,California,Alameda County,2/1/93,1,actuals
06001,California,Alameda County,3/1/93,0,actuals
06001,California,Alameda County,4/1/93,0,actuals
06001,California,Alameda County,5/1/93,3,actuals
06001,California,Alameda County,6/1/93,12,actuals
06001,California,Alameda County,7/1/93,30,actuals
06001,California,Alameda County,8/1/93,13,actuals
06001,California,Alameda County,9/1/93,9,actuals
06001,California,Alameda County,10/1/93,3,actuals
06001,California,Alameda County,11/1/93,5,actuals
06001,California,Alameda County,12/1/93,0,actuals
06001,California,Alameda County,1/1/94,0,actuals
06001,California,Alameda County,2/1/94,0,actuals
06001,California,Alameda County,3/1/94,1,actuals
06001,California,Alameda County,4/1/94,0,actuals
06001,California,Alameda County,5/1/94,6,actuals
06001,California,Alameda County,6/1/94,11,actuals
06001,California,Alameda County,7/1/94,16,actuals
06001,California,Alameda County,8/1/94,6,actuals
06001,California,Alameda County,9/1/94,4,actuals
06001,California,Alameda County,10/1/94,5,actuals
06001,California,Alameda County,11/1/94,1,actuals
06001,California,Alameda County,12/1/94,0,actuals
06001,California,Alameda County,1/1/95,0,actuals
06001,California,Alameda County,2/1/95,0,actuals
06001,California,Alameda County,3/1/95,0,actuals
06001,California,Alameda County,4/1/95,0,actuals
06001,California,Alameda County,5/1/95,2,actuals
06001,California,Alameda County,6/1/95,10,actuals
06001,California,Alameda County,7/1/95,11,actuals
06001,California,Alameda County,8/1/95,10,actuals
06001,California,Alameda County,9/1/95,4,actuals
06001,California,Alameda County,10/1/95,3,actuals
06001,California,Alameda County,11/1/95,1,actuals
06001,California,Alameda County,12/1/95,4,actuals
06001,California,Alameda County,1/1/96,0,actuals
06001,California,Alameda County,2/1/96,0,actuals
06001,California,Alameda County,3/1/96,0,actuals
06001,California,Alameda County,4/1/96,0,actuals
06001,California,Alameda County,5/1/96,4,actuals
06001,California,Alameda County,6/1/96,16,actuals
06001,California,Alameda County,7/1/96,8,actuals
06001,California,Alameda County,8/1/96,17,actuals
06001,California,Alameda County,9/1/96,8,actuals
06001,California,Alameda County,10/1/96,5,actuals
06001,California,Alameda County,11/1/96,1,actuals
06001,California,Alameda County,12/1/96,0,actuals
06001,California,Alameda County,1/1/97,0,actuals
06001,California,Alameda County,2/1/97,0,actuals
06001,California,Alameda County,3/1/97,0,actuals
06001,California,Alameda County,4/1/97,2,actuals
06001,California,Alameda County,5/1/97,15,actuals
06001,California,Alameda County,6/1/97,14,actuals
06001,California,Alameda County,7/1/97,13,actuals
06001,California,Alameda County,8/1/97,14,actuals
06001,California,Alameda County,9/1/97,7,actuals
06001,California,Alameda County,10/1/97,2,actuals
06001,California,Alameda County,11/1/97,1,actuals
06001,California,Alameda County,12/1/97,0,actuals
06001,California,Alameda County,1/1/98,0,actuals
06001,California,Alameda County,2/1/98,0,actuals
06001,California,Alameda County,3/1/98,0,actuals
06001,California,Alameda County,4/1/98,0,actuals
06001,California,Alameda County,5/1/98,0,actuals
06001,California,Alameda County,6/1/98,2,actuals
06001,California,Alameda County,7/1/98,20,actuals
06001,California,Alameda County,8/1/98,15,actuals
06001,California,Alameda County,9/1/98,8,actuals
06001,California,Alameda County,10/1/98,10,actuals
06001,California,Alameda County,11/1/98,0,actuals
06001,California,Alameda County,12/1/98,0,actuals
06001,California,Alameda County,1/1/99,0,actuals
06001,California,Alameda County,2/1/99,0,actuals
06001,California,Alameda County,3/1/99,0,actuals
06001,California,Alameda County,4/1/99,0,actuals
06001,California,Alameda County,5/1/99,1,actuals
06001,California,Alameda County,6/1/99,7,actuals
06001,California,Alameda County,7/1/99,12,actuals
06001,California,Alameda County,8/1/99,7,actuals
06001,California,Alameda County,9/1/99,8,actuals
06001,California,Alameda County,10/1/99,2,actuals
06001,California,Alameda County,11/1/99,1,actuals
06001,California,Alameda County,12/1/99,0,actuals
06001,California,Alameda County,1/1/00,1,actuals
06001,California,Alameda County,2/1/00,0,actuals
06001,California,Alameda County,3/1/00,0,actuals
06001,California,Alameda County,4/1/00,0,actuals
06001,California,Alameda County,5/1/00,5,actuals
06001,California,Alameda County,6/1/00,11,actuals
06001,California,Alameda County,7/1/00,8,actuals
06001,California,Alameda County,8/1/00,8,actuals
06001,California,Alameda County,9/1/00,10,actuals
06001,California,Alameda County,10/1/00,2,actuals
06001,California,Alameda County,11/1/00,0,actuals
06001,California,Alameda County,12/1/00,0,actuals
06001,California,Alameda County,1/1/01,0,actuals
06001,California,Alameda County,2/1/01,0,actuals
06001,California,Alameda County,3/1/01,0,actuals
06001,California,Alameda County,4/1/01,1,actuals
06001,California,Alameda County,5/1/01,7,actuals
06001,California,Alameda County,6/1/01,13,actuals
06001,California,Alameda County,7/1/01,11,actuals
06001,California,Alameda County,8/1/01,12,actuals
06001,California,Alameda County,9/1/01,6,actuals
06001,California,Alameda County,10/1/01,5,actuals
06001,California,Alameda County,11/1/01,0,actuals
06001,California,Alameda County,12/1/01,0,actuals
06001,California,Alameda County,1/1/02,0,actuals
06001,California,Alameda County,2/1/02,0,actuals
06001,California,Alameda County,3/1/02,0,actuals
06001,California,Alameda County,4/1/02,3,actuals
06001,California,Alameda County,5/1/02,7,actuals
06001,California,Alameda County,6/1/02,10,actuals
06001,California,Alameda County,7/1/02,6,actuals
06001,California,Alameda County,8/1/02,11,actuals
06001,California,Alameda County,9/1/02,8,actuals
06001,California,Alameda County,10/1/02,3,actuals
06001,California,Alameda County,11/1/02,0,actuals
